ligand	receptor	score
Cntf	Cntfr	1
Efna5	Ephb2	1
Efna5	Epha1	1
Kiss1	Kiss1r	1
Xcl1	Xcr1	1
Bmp2	Hfe2	1
Fst	Hfe2	1
Rgma	Hfe2	1
Sema5a	Plxnb3	1
Cntf	Il6st	1
Angpt2	Tie1	1
Angpt4	Tie1	1
Fat4	Dchs1	1
Inhbe	Eng	1
Cd5l	Cd5	1
Inhba	Eng	1
Bmp2	Eng	1
Dll4	Notch3	1
Nrtn	Gfra2	1
Efna2	Epha1	1
Timp3	Kdr	1
Pgf	Flt1	1
Nxph1	Nrxn1	1
Sema3g	Nrp2	1
Tph1	Htr7	1
Lamc2	Col17a1	1
Gzmb	Chrm3	1
Angpt2	Tek	1
Angpt4	Tek	1
Pgf	Nrp2	1
Gdf9	Fxyd6	1
Sema3f	Nrp2	1
Ctf1	Il6st	1
Icam4	Rhag	1
Cntn2	Cntn1	1
Efna4	Epha1	1
Vegfa	Ephb2	1
Efnb2	Ephb2	1
Ctgf	Ntrk1	1
Bmp7	Eng	1
Mmp9	Ephb2	1
Tph1	Htr1a	1
Pgf	Nrp1	1
Sema3f	Nrp1	1
Il12b	Il12rb1	1
Inhbe	Acvr1b	1
Nodal	Acvr1b	1
Nxph1	Nrxn2	1
Rgma	Neo1	1
Col2a1	Ddr1	1
Inhba	Acvr1b	1
Vegfa	Kdr	1
Hspg2	Chrm3	1
Ltf	Tfrc	1
Vegfa	Flt1	1
Il23a	Il12rb1	1
Cd70	Cd27	1
Sema6d	Kdr	1
Lcn2	Lrp2	1
Plau	Vldlr	1
Vegfa	Nrp2	1
Il1b	Il1r2	1
Lama5	Sdc1	1
Inhbb	Acvr1b	1
Slpi	Cd4	1
Efnb2	Rhbdl2	1
Cntn2	Nrp1	1
Ntn3	Neo1	1
Scgb1a1	Lrp2	1
Efnb2	Ephb4	1
Ltf	Gpr162	1
Calcb	Calcrl	1
Tfpi	Vldlr	1
Ccl17	Darc	1
Vegfa	Nrp1	1
Fgf1	Fgfrl1	1
F11	Gp1ba	1
Saa1	Fpr1	1
Efnb3	Ephb2	1
Il6	Il6st	1
Tnc	Ptprb	1
Edn1	Ednrb	1
C1qa	Cspg4	1
Thbs1	Sdc1	1
Plau	Lrp2	1
Inha	Acvr1b	1
Tnc	Cntn1	1
Vegfa	Tyro3	1
Gcg	Gcgr	1
Hspg2	Sdc1	1
Hspg2	Ptprs	1
Col9a3	Mag	1
Edn1	Eltd1	1
Fgf1	Nrp1	1
Efna5	Epha7	1
Efnb3	Rhbdl2	1
Cgn	Ocln	1
Gas6	Tyro3	1
Efnb3	Ephb4	1
Ihh	Ptch1	1
