B-cell---B-cell	q-value: 1.7699e-08

Ligand---Receptor	contribution
CANX---HLA-B	0.062197
HLA-B---CANX	0.049475
APP---CD74	0.045449
LILRB1---HLA-B	0.040010
HLA-A---APLP2	0.039176
HLA-B---LILRB1	0.038901
CD52---SIGLEC10	0.034736
LILRB1---HLA-C	0.032114
HLA-B---KLRD1	0.031144
TNFRSF14---MIF	0.025394
CD74---APP	0.025098
LILRB1---HLA-A	0.022497
VIM---CD44	0.022484
SIGLEC10---CD52	0.022395
BTLA---CD79A	0.020034
KLRD1---HLA-B	0.020031
CD79A---BTLA	0.019041
LTB---CD40	0.017980
HLA-C---LILRB1	0.017978
CD44---VIM	0.017398
PTPRC---CD22	0.017245
MIF---TNFRSF14	0.015991
HLA-A---LILRB1	0.013737
ITGA4---ADAM28	0.011622
APLP2---HLA-A	0.011490
LY86---CD180	0.011009
HLA-E---KLRD1	0.010487
LY9---LY9	0.010034
CD22---PTPRC	0.009177
KLRD1---HLA-E	0.009129
ADAM28---ITGA4	0.008662
CD40---LTB	0.007896
CR2---FCER2	0.006833
ITGAL---ICAM3	0.005988
FCER2---CR2	0.005874
FCER2---ITGB2	0.004663
FCER2---ITGAX	0.003982
BTLA---TNFRSF14	0.003605
ADAM17---ITGB1	0.003548
LTA---TNFRSF14	0.003486
CCL5---CXCR3	0.003485
ITGB2---FCER2	0.003378
LGALS9---CD44	0.003242
CD97---CD55	0.003198
CD180---LY86	0.002739
CXCR3---CCL5	0.002730
PSEN1---NCSTN	0.002531
SELL---SELPLG	0.002431
COL19A1---ITGB1	0.002386
TNFRSF14---BTLA	0.002000
CCR7---CCL21	0.001965
TRAF2---TNF	0.001905
NCR3---BAG6	0.001871
BST2---LILRA4	0.001648
LTB---TNFRSF1A	0.001560
MFNG---NOTCH1	0.001511
SLAMF6---SLAMF6	0.001483
IL7---IL2RG	0.001482
ITGB2---ICAM3	0.001434
IL2RG---IL7	0.001422
TNFRSF14---TNFSF13	0.001405
LGALS3BP---ITGB1	0.001382
NCSTN---PSEN1	0.001369
PRND---RPSA	0.001285
TNFRSF1B---TNF	0.001186
CD44---LGALS9	0.001151
DEFB103A---CCR6	0.001135
PTDSS1---JMJD6	0.001123
NOTCH2---MFNG	0.001059
ITGAM---FCER2	0.001042
TNFSF13---TNFRSF14	0.001035
SEMA7A---ITGB1	0.001005
SELPLG---SELL	0.000973
CR1---CD55	0.000932
PODXL---SELL	0.000883
CD70---CD27	0.000882
GPI---AMFR	0.000875
ALCAM---CD6	0.000852
HLA-B---LILRB2	0.000839
