ID	x	y	z	cluster
human3_lib1.final_cell_0001	-6.406120	-22.621714	-6.520075	3.000000
human3_lib1.final_cell_0002	-18.187444	-12.194834	-17.147367	3.000000
human3_lib1.final_cell_0003	-16.934622	-22.125104	7.043401	3.000000
human3_lib1.final_cell_0004	-4.589590	-10.594338	-17.863139	3.000000
human3_lib1.final_cell_0005	-3.873905	-11.911170	18.724298	3.000000
human3_lib1.final_cell_0006	-17.731819	6.980617	8.611843	3.000000
human3_lib1.final_cell_0007	-18.344752	2.546526	14.920148	3.000000
human3_lib1.final_cell_0008	-10.799031	-19.880645	-0.966123	3.000000
human3_lib1.final_cell_0009	-17.290849	7.127529	21.081110	3.000000
human3_lib1.final_cell_0010	-8.882059	-14.101178	-4.337598	3.000000
human3_lib1.final_cell_0011	-33.749957	0.061619	-8.625486	3.000000
human3_lib1.final_cell_0012	-15.672485	-6.550046	6.411905	3.000000
human3_lib1.final_cell_0013	-8.588180	-5.287730	-15.380637	3.000000
human3_lib1.final_cell_0014	-32.369550	-0.868656	-2.534382	3.000000
human3_lib1.final_cell_0015	-10.060987	-11.475978	4.623746	3.000000
human3_lib1.final_cell_0016	-15.725279	1.355207	-30.635679	3.000000
human3_lib1.final_cell_0017	-6.439569	-11.858312	-3.052677	3.000000
human3_lib1.final_cell_0018	-2.879610	-13.782150	-7.973316	3.000000
human3_lib1.final_cell_0019	-24.924785	10.314993	-5.036949	3.000000
human3_lib1.final_cell_0020	-22.025922	1.820939	-7.314185	3.000000
human3_lib1.final_cell_0021	-27.552300	6.728331	10.538540	3.000000
human3_lib1.final_cell_0022	15.538940	-22.493986	11.876472	3.000000
human3_lib1.final_cell_0023	2.288718	-23.223434	2.115743	3.000000
human3_lib1.final_cell_0024	1.581232	11.333927	-50.620864	3.000000
human3_lib1.final_cell_0025	-33.135718	10.081990	3.294430	3.000000
human3_lib1.final_cell_0026	-25.544799	7.410509	6.736461	3.000000
human3_lib1.final_cell_0027	-31.048237	6.782190	-9.927772	3.000000
human3_lib1.final_cell_0028	8.241765	5.714196	-1.669142	1.000000
human3_lib1.final_cell_0029	-17.255753	0.741618	8.981178	3.000000
human3_lib1.final_cell_0030	10.590489	8.408429	-5.988835	1.000000
human3_lib1.final_cell_0031	-13.262474	-20.698834	10.013945	3.000000
human3_lib1.final_cell_0032	-1.699319	-29.274481	-2.370406	3.000000
human3_lib1.final_cell_0033	-22.413892	12.051424	13.353440	3.000000
human3_lib1.final_cell_0034	-28.332687	8.684268	-1.764935	3.000000
human3_lib1.final_cell_0035	-16.538545	-9.398311	12.607110	3.000000
human3_lib1.final_cell_0036	-11.567072	10.931993	-18.689583	3.000000
human3_lib1.final_cell_0037	-13.588682	9.470345	-15.039759	3.000000
human3_lib1.final_cell_0038	-19.196500	-5.804787	-9.543443	3.000000
human3_lib1.final_cell_0039	11.702420	7.124580	-6.101768	1.000000
human3_lib1.final_cell_0040	-22.167546	5.439590	-24.376841	3.000000
human3_lib1.final_cell_0041	-6.173141	-2.483723	5.782653	3.000000
human3_lib1.final_cell_0042	-31.511995	1.662875	3.274606	3.000000
human3_lib1.final_cell_0043	-17.973532	-8.489980	-7.645816	3.000000
human3_lib1.final_cell_0044	-12.480889	-25.125320	-8.480333	3.000000
human3_lib1.final_cell_0045	-18.169625	-11.603776	-12.954927	3.000000
human3_lib1.final_cell_0046	-9.204844	-11.598235	2.036063	3.000000
human3_lib1.final_cell_0047	-16.671525	12.918735	-13.924852	3.000000
human3_lib1.final_cell_0048	-11.865617	5.673761	3.963817	3.000000
human3_lib1.final_cell_0049	-23.072979	20.204197	-12.820470	3.000000
human3_lib1.final_cell_0050	-7.055764	-12.227709	21.668442	3.000000
