DC1---DC1	p-value: 0.79143

DC2---DC1	p-value: 0.79143

DC2---DC2	p-value: 0.79143

EVT---DC1	q-value: 0.0012922

Ligand---Receptor	contribution
CD63---TIMP1	0.365652
SPP1---ITGB1	0.024801
CANX---HLA-B	0.021358
TIMP1---CD63	0.019325
EGFR---DCN	0.017587
SPP1---CD44	0.016265
APLP2---HLA-A	0.014918
FN1---SDC2	0.013424
RPS19---C5AR1	0.013017
FN1---ITGB1	0.012757
FN1---PLAUR	0.011525
APP---CD74	0.010249
ALB---B2M	0.008673
ERBB2---HLA-A	0.008134
ITGB1---TGM2	0.007608
FN1---CD44	0.007233
FN1---ITGB8	0.006804
LDLR---APOE	0.006589
CD44---VIM	0.005935
COL1A1---CD44	0.005295
FAM3C---CLEC2D	0.004879
VIM---CD44	0.004851
LRP1---APOE	0.004483
IGF2---INSR	0.003305
COL1A1---ITGB1	0.003254
ITGB1---FBLN1	0.003224
CCR1---CCL3	0.003137
ANXA1---EGFR	0.003127
VLDLR---APOE	0.003069
HSP90AA1---EGFR	0.003062
MET---DCN	0.002722
COL3A1---ITGB1	0.002534
MMP2---SDC2	0.002243
ITGB2---THY1	0.002212
CYR61---ITGB2	0.002117
ITGB1---FN1	0.002108
COL1A1---ITGA1	0.002001
CSH1---PRLR	0.001940
ANXA1---FPR3	0.001933
APOE---SCARB1	0.001887
MMP12---PLAUR	0.001815
COL4A1---ITGB1	0.001683
ACKR2---CCL3	0.001526
SDC4---MDK	0.001447
DPP4---CXCL2	0.001445
COL1A2---CD44	0.001439
COL3A1---ITGA1	0.001417
COL1A2---ITGB1	0.001405
SCARB1---APOE	0.001203
ITGA5---FN1	0.001188
CAV1---GNAI2	0.001181
IGF2---IGF2R	0.001026
HLA-B---CANX	0.000955
APOE---SORL1	0.000944
PRLR---PRL	0.000942
IL1R2---IL1B	0.000919
CD47---TYROBP	0.000818
FBLN1---ITGB1	0.000807
CAV1---PTGS2	0.000758
COL1A2---ITGA1	0.000758
SPP1---ITGAV	0.000754
TGFB1---SDC2	0.000719
C14orf1---CCL18	0.000719
SPP1---ITGA5	0.000701
CD74---APP	0.000674
SDC4---TGM2	0.000624
SORL1---APOE	0.000597
CCR1---CCL4	0.000554
COL1A1---CD93	0.000547
VCAN---CD44	0.000475
ITGB1---TIMP2	0.000455
HLA-A---APLP2	0.000432
EGFR---ANXA1	0.000429
LRP1---PSAP	0.000415
ACKR2---CCL4	0.000411
FPR3---ANXA1	0.000397
FN1---ITGB7	0.000388
FN1---ITGB5	0.000387
HGF---CD44	0.000357
ERBB4---DCN	0.000327
CD14---ITGB1	0.000317
PGF---NRP2	0.000315
RPSA---LAMA2	0.000304
COL1A1---ITGA5	0.000273
ITGB6---FN1	0.000256
LGALS9---CD44	0.000206
COL1A2---CD93	0.000206
ADAM12---ITGB1	0.000179
HLA-G---KLRC1	0.000163
DCN---EGFR	0.000161
SDC1---MDK	0.000157
ITGB1---PLAUR	0.000153
EGFR---VCAN	0.000150
MMP7---CD151	0.000149
F13A1---ITGB1	0.000143
GPC3---CD81	0.000134
IL1B---IL1R2	0.000116
FPR1---ANXA1	0.000094
RPSA---LAMB2	0.000093
COL4A1---ITGA1	0.000092
COL4A1---ITGB8	0.000092
C5AR1---RPS19	0.000090
FLT1---VEGFB	0.000073
TNFRSF1A---GRN	0.000071
PLAUR---FN1	0.000062

EVT---DC2	q-value: 0.79143

Ligand---Receptor	contribution
FN1---CD44	0.230769
RPS19---C5AR1	0.100000
FN1---PLAUR	0.076923
CD63---TIMP1	0.066923
PSAP---LRP1	0.044615
F11R---ITGB2	0.043077
FN1---ITGA4	0.038462
IGF2---IGF1R	0.032308
ITGB1---VCAN	0.026923
APP---CD74	0.024615

EVT---EVT	q-value: 0

Ligand---Receptor	contribution
FLT1---PGF	0.050403
FN1---ITGB1	0.044992
PGF---FLT1	0.043889
ITGB1---SPP1	0.041079
ITGB1---FN1	0.034211
ITGA5---SPP1	0.033050
TIMP1---CD63	0.032811
FN1---ITGA5	0.031096
CD63---TIMP1	0.028764
ITGA5---FN1	0.027695
SPP1---ITGB1	0.021927
ITGB1---COL4A1	0.014922
SPP1---ITGA5	0.014853
COL4A1---ITGB1	0.011672
ITGA5---CYR61	0.008923
CYR61---ITGA5	0.007408
ITGB1---FBLN1	0.007214
ITGB1---COL4A2	0.007142
COL4A2---ITGB1	0.006545
INSR---IGF2	0.006183
FBLN1---ITGB1	0.005218
COL1A1---ITGB1	0.004562
RPS19---C5AR1	0.004468
ADAM12---ITGB1	0.004008
COL3A1---ITGB1	0.003483
COL1A1---ITGA5	0.003437
ITGB1---COL1A1	0.003361
SPP1---CD44	0.003140
CD44---SPP1	0.003045
ITGA5---COL1A1	0.002914
FN1---CD44	0.002766
IGF2---INSR	0.002671
ITGB1---COL3A1	0.002646
FN1---PLAUR	0.002450
TFPI---LRP1	0.002171
ITGB1---ADAM12	0.002039
COL1A2---ITGB1	0.001963
ITGAV---SPP1	0.001865
HSP90AA1---EGFR	0.001837
PLAUR---FN1	0.001817
B2M---ALB	0.001747
APP---CD74	0.001684
LRP1---APOE	0.001600
LGALS3BP---ITGB1	0.001585
ITGB1---COL1A2	0.001525
CYR61---ITGB2	0.001393
ITGB1---LGALS3BP	0.001392
C5AR1---RPS19	0.001378
CANX---HLA-B	0.001359
LRP1---TFPI	0.001332
SPP1---ITGAV	0.001309
COL1A1---CD36	0.001295
SDC1---HMGB1	0.001269
TFPI---VLDLR	0.001104
HMGB1---SDC1	0.001103
ANXA1---EGFR	0.001084
FN1---ITGB6	0.000988
THBD---HMGB1	0.000963
TGFB1---ENG	0.000906
CALR---LRP1	0.000866
LDLR---APOE	0.000827
ITGB1---CD14	0.000794
COL6A2---ITGB1	0.000759
EGFR---HSP90AA1	0.000746
CD47---TYROBP	0.000700
ENG---TGFB1	0.000695
COL1A2---CD36	0.000625
APP---CAV1	0.000620
