ID	x	y	z	cluster
mouse1_lib1.final_cell_0001	-5.066966	3.252858	2.409149	1.000000
mouse1_lib1.final_cell_0002	1.968396	3.083017	-3.297729	3.000000
mouse1_lib1.final_cell_0003	-10.923509	-4.572450	-5.859646	1.000000
mouse1_lib1.final_cell_0004	3.616521	1.520947	-0.370772	5.000000
mouse1_lib1.final_cell_0005	-6.514453	-12.123646	-7.342607	1.000000
mouse1_lib1.final_cell_0006	-7.794506	2.355529	-3.914229	1.000000
mouse1_lib1.final_cell_0007	-7.822265	1.180488	3.560513	1.000000
mouse1_lib1.final_cell_0008	-8.601482	-0.602409	-4.344033	1.000000
mouse1_lib1.final_cell_0009	-9.453952	-6.525773	0.391975	1.000000
mouse1_lib1.final_cell_0010	2.644834	7.627556	-3.601414	3.000000
mouse1_lib1.final_cell_0011	7.560459	3.490743	-3.359484	3.000000
mouse1_lib1.final_cell_0012	-9.415608	-6.039112	4.236142	1.000000
mouse1_lib1.final_cell_0013	-7.601106	3.500653	1.393450	1.000000
mouse1_lib1.final_cell_0014	-5.853744	4.370628	-0.338739	1.000000
mouse1_lib1.final_cell_0015	-25.501156	-0.493738	-11.356559	1.000000
mouse1_lib1.final_cell_0016	3.949594	2.076075	0.157916	3.000000
mouse1_lib1.final_cell_0017	-18.700613	3.060192	7.968251	1.000000
mouse1_lib1.final_cell_0018	3.673241	0.000765	-5.205285	6.000000
mouse1_lib1.final_cell_0019	-0.132207	5.748021	-2.189032	3.000000
mouse1_lib1.final_cell_0020	4.536323	2.593666	0.916626	3.000000
mouse1_lib1.final_cell_0021	-4.763411	11.100746	-4.922765	1.000000
mouse1_lib1.final_cell_0022	-7.041510	0.304598	-2.563339	1.000000
mouse1_lib1.final_cell_0023	-10.205728	1.475414	-3.909727	1.000000
mouse1_lib1.final_cell_0024	-1.964500	-8.567404	-7.911612	1.000000
mouse1_lib1.final_cell_0025	4.126873	-5.112070	6.144486	6.000000
mouse1_lib1.final_cell_0026	-0.299903	2.370029	0.038884	2.000000
mouse1_lib1.final_cell_0027	2.726457	2.732271	0.695167	3.000000
mouse1_lib1.final_cell_0028	12.409034	8.384546	-0.081600	3.000000
mouse1_lib1.final_cell_0029	-8.972128	-2.133167	-2.767045	1.000000
mouse1_lib1.final_cell_0030	6.380654	2.973349	3.978294	3.000000
mouse1_lib1.final_cell_0031	0.949621	3.299657	-5.229088	3.000000
mouse1_lib1.final_cell_0032	7.559546	4.460571	0.513655	3.000000
mouse1_lib1.final_cell_0033	18.823959	1.820438	3.121308	1.000000
mouse1_lib1.final_cell_0034	-10.054551	7.611131	-2.149453	1.000000
mouse1_lib1.final_cell_0035	-12.375449	-1.855760	-7.906023	1.000000
mouse1_lib1.final_cell_0036	10.108012	0.725653	-6.739058	3.000000
mouse1_lib1.final_cell_0037	3.556339	1.552033	0.253871	3.000000
mouse1_lib1.final_cell_0038	-0.333452	4.198164	-3.760659	3.000000
mouse1_lib1.final_cell_0039	-1.838061	-5.850116	-4.918123	1.000000
mouse1_lib1.final_cell_0040	-14.845688	-3.298398	-4.745605	1.000000
mouse1_lib1.final_cell_0041	-8.757283	1.004188	-2.162200	1.000000
mouse1_lib1.final_cell_0042	8.709518	3.302691	-1.219603	3.000000
mouse1_lib1.final_cell_0043	-6.786955	-2.399445	-2.272853	1.000000
mouse1_lib1.final_cell_0044	1.237767	2.344299	-0.796223	2.000000
mouse1_lib1.final_cell_0045	-9.756168	2.698947	0.085990	1.000000
mouse1_lib1.final_cell_0046	-8.825877	9.958628	-5.033018	1.000000
mouse1_lib1.final_cell_0047	19.765947	-1.204134	11.258250	1.000000
mouse1_lib1.final_cell_0048	1.193412	3.714245	-1.867307	3.000000
mouse1_lib1.final_cell_0049	-12.125517	7.808024	-7.573829	1.000000
mouse1_lib1.final_cell_0050	5.509251	0.899867	1.993701	3.000000
mouse1_lib1.final_cell_0051	11.868313	-11.315515	6.354202	1.000000
mouse1_lib1.final_cell_0052	-7.104325	-3.051335	-9.751161	1.000000
mouse1_lib1.final_cell_0053	0.872693	6.079553	1.259572	3.000000
mouse1_lib1.final_cell_0054	2.791756	3.420654	0.155838	3.000000
mouse1_lib1.final_cell_0055	4.330888	3.312323	-0.036425	3.000000
mouse1_lib1.final_cell_0056	0.264206	-7.422327	0.925868	1.000000
mouse1_lib1.final_cell_0057	14.285757	0.841516	0.283511	3.000000
mouse1_lib1.final_cell_0058	2.805776	1.168855	-0.090548	2.000000
mouse1_lib1.final_cell_0059	5.667035	-2.378212	1.380124	3.000000
mouse1_lib1.final_cell_0060	-10.783531	12.707065	-10.234250	1.000000
mouse1_lib1.final_cell_0061	-10.058309	4.913306	-0.152308	1.000000
mouse1_lib1.final_cell_0062	7.035269	-0.418318	-5.162517	3.000000
mouse1_lib1.final_cell_0063	4.104651	2.588399	-0.793042	3.000000
mouse1_lib1.final_cell_0064	-0.866142	1.227284	1.739103	2.000000
mouse1_lib1.final_cell_0065	-3.003625	14.639523	0.851924	1.000000
mouse1_lib1.final_cell_0066	-17.373804	11.926623	-8.182610	1.000000
mouse1_lib1.final_cell_0067	3.377637	1.746052	0.700941	3.000000
