endocrine---endocrine	q-value: 0

Ligand---Receptor	contribution
A2M---LRP1	NaN
AANAT---MTNR1A	NaN
AANAT---MTNR1B	NaN
ACE---AGTR2	NaN
ACE---BDKRB2	NaN
ADAM10---AXL	NaN
ADAM10---EPHA3	NaN
ADAM12---ITGA9	NaN
ADAM12---ITGB1	NaN
ADAM12---SDC4	NaN
CD63---TIMP1	0.112819
TIMP1---CD63	0.104624
TTR---DDR1	0.100683
DDR1---TTR	0.088387
INS---IGF1R	0.067492
SSTR2---SST	0.065118
IGF1R---INS	0.051866
SST---SSTR2	0.036406
SSTR1---SST	0.031737
INS---INSR	0.028743
INSR---INS	0.026778
SSTR3---SST	0.026561
SST---SSTR1	0.024376
SST---SSTR3	0.018152
DPP4---GCG	0.014028
GCG---DPP4	0.012801
HLA-A---APLP2	0.011502
APLP2---HLA-A	0.010111
ITGB1---SPP1	0.009574
SPP1---ITGB1	0.008526
IDE---INS	0.006850
CANX---HLA-B	0.005540
TGM2---ITGB1	0.005309
HLA-B---CANX	0.005152
ITGB1---TGM2	0.005080
INS---IDE	0.004843
GNAS---GCGR	0.004611
GCG---GCGR	0.004347
GCGR---GCG	0.003603
ITGAV---SPP1	0.003016
CD44---SPP1	0.002984
GCGR---GNAS	0.002864
SPP1---ITGAV	0.002617
TIMP2---ITGB1	0.002294
GCG---IDE	0.002269
ITGB1---TIMP2	0.002223
SPP1---CD44	0.002097
IDE---GCG	0.001920
GRN---TNFRSF1A	0.001627
GCG---GLP1R	0.001503
CALR---ITGAV	0.001426
ITGB1---LGALS3BP	0.001419
LGALS3BP---ITGB1	0.001395
ITGAV---CALR	0.001370
TNFRSF1A---GRN	0.001363
AGER---TTR	0.001191
MIF---TNFRSF14	0.001162
INS---LRP2	0.001124
LRP2---INS	0.001053
IGF2R---IGF2	0.001014
GLP1R---GCG	0.001001
TNFRSF14---MIF	0.000997
IGF2---IGF2R	0.000951
ITGB1---CDH1	0.000839
CDH1---ITGB1	0.000806
TTR---AGER	0.000739
GLP2R---GCG	0.000653
LRPAP1---SORL1	0.000644
ITGB1---CD14	0.000608
CD14---ITGB1	0.000590
APP---NCSTN	0.000507
IL11---IL6ST	0.000504
VIM---CD44	0.000497
VIPR1---GNAS	0.000455
SORL1---LRPAP1	0.000448
IAPP---RAMP1	0.000441
NCSTN---APP	0.000433
SORT1---GRN	0.000427
TNFRSF12A---TNFSF12	0.000415
APP---TNFRSF21	0.000412
AMFR---GPI	0.000405
ITGA3---CALR	0.000383
CALR---ITGA3	0.000379
GRN---SORT1	0.000374
