number	DC1	DC2	EVT	EVT_p	F1	F2	Granulocytes	HB	ILC3	M3	Monocytes	NK	NK_CD16+	Plasma_cells	SCT	T_cells	VCT	VCT_p	dM1	dM2	dNK1	dNK2	dNK3	dNK_p	dS1	dS2	dS3	dT_cells	un_annoted	
DC1	0	0	99	83	66	1	4	55	0	40	2	0	2	0	26	0	128	55	14	4	13	15	10	2	176	90	16	3	70	
DC2	0	0	1	1	5	0	0	2	0	0	0	0	2	0	3	4	11	1	2	0	1	6	1	0	7	14	2	2	4	
EVT	99	1	3152	5315	3432	89	252	3042	1	1983	159	4	6	5	1639	55	6869	3209	734	113	449	470	240	105	7954	4212	712	144	4258	
EVT_p	83	1	5315	2137	2932	49	230	2640	5	1693	128	0	4	4	1390	51	5825	2739	621	92	355	394	195	85	6191	3218	534	113	3336	
F1	66	5	3432	2932	1038	40	141	1825	1	1242	87	5	9	6	958	56	4291	1939	438	86	305	360	231	69	4463	2311	414	101	2235	
F2	1	0	89	49	40	1	0	31	1	26	4	0	0	2	27	4	89	44	13	4	12	35	9	1	206	124	14	5	74	
Granulocytes	4	0	252	230	141	0	3	137	0	85	6	0	0	0	72	0	297	145	29	4	15	14	3	5	231	122	29	6	148	
HB	55	2	3042	2640	1825	31	137	831	4	1094	76	2	6	4	834	40	3847	1791	385	70	227	293	179	57	3519	1854	303	84	1939	
ILC3	0	0	1	5	1	1	0	4	0	1	0	0	0	0	3	8	14	7	2	3	6	3	4	1	14	5	2	1	10	
M3	40	0	1983	1693	1242	26	85	1094	1	348	52	1	1	6	551	16	2455	1111	252	47	163	186	115	32	2506	1291	223	59	1272	
Monocytes	2	0	159	128	87	4	6	76	0	52	1	1	4	1	43	10	174	84	17	4	17	22	8	6	179	98	15	8	97	
NK	0	0	4	0	5	0	0	2	0	1	1	0	0	0	0	3	11	2	3	0	4	2	3	0	7	7	0	4	12	
NK_CD16+	2	2	6	4	9	0	0	6	0	1	4	0	0	0	5	6	35	8	7	6	11	20	2	1	21	36	2	1	13	
Plasma_cells	0	0	5	4	6	2	0	4	0	6	1	0	0	0	2	6	20	7	2	4	7	16	1	0	40	10	3	3	16	
SCT	26	3	1639	1390	958	27	72	834	3	551	43	0	5	2	219	50	1966	905	195	50	148	178	92	26	2022	1084	151	51	1103	
T_cells	0	4	55	51	56	4	0	40	8	16	10	3	6	6	50	24	189	82	60	32	56	111	41	6	263	170	31	27	128	
VCT	128	11	6869	5825	4291	89	297	3847	14	2455	174	11	35	20	1966	189	4450	4062	1029	244	697	970	496	156	8781	4733	837	264	4612	
VCT_p	55	1	3209	2739	1939	44	145	1791	7	1111	84	2	8	7	905	82	4062	879	459	95	255	381	186	53	3922	2051	340	104	2109	
dM1	14	2	734	621	438	13	29	385	2	252	17	3	7	2	195	60	1029	459	59	37	120	160	70	25	1117	624	135	37	590	
dM2	4	0	113	92	86	4	4	70	3	47	4	0	6	4	50	32	244	95	37	11	58	67	51	8	253	184	27	22	134	
dNK1	13	1	449	355	305	12	15	227	6	163	17	4	11	7	148	56	697	255	120	58	49	174	75	26	1026	625	117	44	423	
dNK2	15	6	470	394	360	35	14	293	3	186	22	2	20	16	178	111	970	381	160	67	174	147	130	29	1367	830	158	75	563	
dNK3	10	1	240	195	231	9	3	179	4	115	8	3	2	1	92	41	496	186	70	51	75	130	31	9	623	384	60	48	243	
dNK_p	2	0	105	85	69	1	5	57	1	32	6	0	1	0	26	6	156	53	25	8	26	29	9	1	197	116	18	6	90	
dS1	176	7	7954	6191	4463	206	231	3519	14	2506	179	7	21	40	2022	263	8781	3922	1117	253	1026	1367	623	197	7753	8931	1502	350	6757	
dS2	90	14	4212	3218	2311	124	122	1854	5	1291	98	7	36	10	1084	170	4733	2051	624	184	625	830	384	116	8931	2563	883	218	3785	
dS3	16	2	712	534	414	14	29	303	2	223	15	0	2	3	151	31	837	340	135	27	117	158	60	18	1502	883	57	36	688	
dT_cells	3	2	144	113	101	5	6	84	1	59	8	4	1	3	51	27	264	104	37	22	44	75	48	6	350	218	36	4	153	
un_annoted	70	4	4258	3336	2235	74	148	1939	10	1272	97	12	13	16	1103	128	4612	2109	590	134	423	563	243	90	6757	3785	688	153	1590	
