p-value	DC1	DC2	EVT	EVT_p	F1	F2	Granulocytes	HB	ILC3	M3	Monocytes	NK	NK_CD16+	Plasma_cells	SCT	T_cells	VCT	VCT_p	dM1	dM2	dNK1	dNK2	dNK3	dNK_p	dS1	dS2	dS3	dT_cells	un_annoted	
DC1	0.7914	0.7914	0.0013	0.0011	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
DC2	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
EVT	0.0013	0.7914	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.0000	
EVT_p	0.0011	0.7914	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.0000	
F1	0.7914	0.7914	0.0000	0.0000	0.0000	0.1933	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.0000	
F2	0.7914	0.7914	0.0000	0.0000	0.1933	0.7914	0.7914	0.0583	0.7914	0.0115	0.7914	0.7914	0.7914	0.7914	0.0969	0.7914	0.7914	0.1320	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.7914	0.7914	0.0080	
Granulocytes	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.6832	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.3064	0.1397	0.7914	0.0000	
HB	0.7914	0.7914	0.0000	0.0000	0.0000	0.0583	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.0000	
ILC3	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
M3	0.7914	0.7914	0.0000	0.0000	0.0000	0.0115	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0000	0.7914	0.0000	
Monocytes	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
NK	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
NK_CD16+	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
Plasma_cells	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	
SCT	0.7914	0.7914	0.0000	0.0000	0.0000	0.0969	0.0000	0.0000	0.7914	0.0000	0.7914	0.7914	0.7914	0.7914	0.0000	0.7914	0.0000	0.0000	0.7914	0.7914	0.7914	0.7914	0.7914	0.7914	0.0000	0.0000	0.0589	0.7914	0.0000	
