clusterA/clusterB	DC1	DC2	EVT	EVT_p	F1	F2	Granulocytes	HB	ILC3	M3	Monocytes	NK	NK_CD16+	Plasma_cells	SCT	T_cells	VCT	VCT_p	dM1	dM2	dNK1	dNK2	dNK3	dNK_p	dS1	dS2	dS3	dT_cells	un_annoted	
DC1	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	
DC2	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	
EVT	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	282	
EVT_p	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	227	
F1	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	321	
F2	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	
Granulocytes	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	
HB	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	
ILC3	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	
M3	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	
Monocytes	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	
NK	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	
NK_CD16+	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	
Plasma_cells	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	
SCT	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	
T_cells	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	1163	
VCT	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	1093	
VCT_p	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	
dM1	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	396	
dM2	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	
dNK1	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	621	
dNK2	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	831	
dNK3	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	
dNK_p	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	
dS1	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	1096	
dS2	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	
dS3	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	
dT_cells	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	236	
un_annoted	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	539	
