endocrine---endocrine	q-value: 0.47595

Ligand---Receptor	contribution
Cntf---Cntfr	NaN
Efna5---Ephb2	NaN
Efna5---Epha1	NaN
Cntf---Il6st	NaN
Angpt2---Tie1	NaN
Inhba---Eng	NaN
Bmp2---Eng	NaN
Dll4---Notch3	NaN
Nrtn---Gfra2	NaN
Efna2---Epha1	NaN
Iapp---Ramp2	0.125381
Ramp2---Iapp	0.109905
Gnai2---Igf1r	0.077187
Igf1r---Gnai2	0.072573
Ramp1---Iapp	0.023887
Iapp---Ramp1	0.022763
Gcgr---Gcg	0.019191
Calr---Itgav	0.011454
Calm1---Insr	0.010601
Adra2a---Gnai2	0.007625
Sirpa---Vegfa	0.007463
Spp1---Cd44	0.007190
Itgb3---Itgb3bp	0.005371
Spp1---Itgb1	0.005154
Gnas---Adcy9	0.005060
Gcg---Gcgr	0.005010
Vipr1---Gnas	0.004851
Igf1r---Cdh1	0.004745
Itgav---Calr	0.004501
Itgb1---Spp1	0.004005
Tnfrsf21---App	0.003731
Itgb3---Adam23	0.003731
Kdr---Vegfa	0.003731
Mfge8---Itgb3	0.003731
Cdh1---Igf1r	0.003719
Calm1---Ptpra	0.003557
Calm1---Pde1c	0.003500
Pde1c---Calm1	0.003078
Cacna1c---Calm1	0.002966
Ncstn---App	0.002788
Gpc1---App	0.002548
Igf1r---Igf2	0.002488
Gcgr---Gnas	0.002144
Calm1---Egfr	0.001966
Apoe---Sorl1	0.001723
Lrp1---Calr	0.001415
App---Ncstn	0.001397
App---Lrp1	0.001360
Vldlr---Lpl	0.001249
Gnai2---Ednrb	0.001147
Ptpra---Calm1	0.001107
Lrp1---Hsp90b1	0.001060
Spp1---Itgav	0.001044
Itgb1---Vegfa	0.000911
Itga3---Calr	0.000856
Sort1---Psap	0.000836
Egfr---Calm1	0.000825
Cd44---Spp1	0.000794
Ptma---Vipr1	0.000767
Igf2---Igf1r	0.000752
Calm1---Abca1	0.000722
Cyr61---Itgav	0.000671
Adcy9---Gnas	0.000658
Dusp18---Rpsa	0.000595
Arf1---Chrm3	0.000558
Gnas---Gcgr	0.000517
Itgav---Spp1	0.000511
Tlr2---Hsp90b1	0.000477
Adora1---Gnas	0.000473
Calm2---Insr	0.000473
Igf2r---Igf2	0.000453
Itgb1---Lgals3bp	0.000435
Lgals3bp---Itgb1	0.000428
Abca1---Calm1	0.000425
Gpc3---Igf1r	0.000406
Igf1r---Gpc3	0.000391
Calm1---Cacna1c	0.000354
Gnas---Vipr1	0.000329
App---Gpc1	0.000239
Timp1---Cd63	0.000221
